dataset,Subject,SubjCode,Type,TypeCode,n1,n2,nsmall,nlarge,Accuracy,Updating,Loops,Trial,L,C,R,age
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,1,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,2,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,3,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,4,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,5,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,6,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,7,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,8,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,9,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,10,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,11,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,12,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,13,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,14,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,15,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,16,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,17,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,18,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,19,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,20,5,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,21,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,22,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,23,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,24,5,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,1,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,2,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,3,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,4,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,5,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,6,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,7,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,8,5,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,9,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,10,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,11,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,12,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,13,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,14,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,15,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,16,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,17,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,18,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,19,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,20,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,21,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,22,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,23,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,24,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,1,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,2,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,3,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,4,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,5,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,6,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,7,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,8,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,10,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,11,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,12,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,13,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,14,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,15,5,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,16,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,17,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,18,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,19,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,20,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,21,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,22,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,23,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,24,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,2,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,3,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,6,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,7,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,8,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,12,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,13,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,14,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,16,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,19,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,21,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,22,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,3,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,4,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,6,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,12,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,15,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,16,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,19,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,20,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,21,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,22,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,24,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,3,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,4,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,6,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,8,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,9,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,12,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,17,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,19,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,20,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,21,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,22,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,24,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,2,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,3,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,7,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,8,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,10,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,11,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,12,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,14,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,16,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,17,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,20,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,24,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,1,5,NA,6,Adults
addition,Pearl,5,1to1,3,5,6,5,6,1,6,,3,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,0,6,,4,6,NA,5,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,5,6,NA,5,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,6,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,7,5,NA,6,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,8,5,NA,6,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,9,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,10,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,11,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,12,6,NA,5,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,13,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,14,5,NA,6,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,15,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,16,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,1,6,,17,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,0,6,,18,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,1,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,2,6,NA,5,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,3,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,1,6,,4,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,0,6,,5,6,NA,5,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,6,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,7,5,NA,6,Adults
addition,Pearl,5,1to1,3,5,6,5,6,1,6,,8,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,0,6,,9,6,NA,5,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,10,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,11,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,0,6,,12,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,13,5,NA,6,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,14,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,15,6,NA,5,Adults
addition,Pearl,5,1to1,3,5,6,5,6,0,6,,16,5,NA,6,Adults
addition,Pearl,5,1to1,3,5,6,5,6,1,6,,17,5,NA,6,Adults
addition,Pearl,5,1to1,3,6,5,5,6,1,6,,18,6,NA,5,Adults
addition,Pearl,5,Seq,2,4,3,3,4,0,7,,1,4,NA,3,Adults
addition,Pearl,5,Seq,2,4,5,4,5,1,9,,4,4,NA,5,Adults
addition,Pearl,5,Seq,2,4,5,4,5,0,9,,5,4,NA,5,Adults
addition,Pearl,5,Seq,2,5,4,4,5,1,9,,9,5,NA,4,Adults
addition,Pearl,5,Seq,2,3,4,3,4,0,7,,10,3,NA,4,Adults
addition,Pearl,5,Seq,2,3,4,3,4,1,7,,11,3,NA,4,Adults
addition,Pearl,5,Seq,2,5,4,4,5,0,9,,15,5,NA,4,Adults
addition,Pearl,5,Seq,2,4,3,3,4,0,7,,17,4,NA,3,Adults
addition,Pearl,5,Seq,2,5,4,4,5,1,9,,18,5,NA,4,Adults
addition,Pearl,5,Seq,2,3,4,3,4,1,7,,20,3,NA,4,Adults
addition,Pearl,5,Seq,2,4,5,4,5,0,9,,23,4,NA,5,Adults
addition,Pearl,5,Seq,2,4,3,3,4,0,7,,24,4,NA,3,Adults
addition,Pearl,5,Seq,2,5,4,4,5,0,9,,1,5,NA,4,Adults
addition,Pearl,5,Seq,2,3,4,3,4,0,7,,2,3,NA,4,Adults
addition,Pearl,5,Seq,2,4,5,4,5,1,9,,5,4,NA,5,Adults
addition,Pearl,5,Seq,2,4,3,3,4,1,7,,7,4,NA,3,Adults
addition,Pearl,5,Seq,2,3,4,3,4,1,7,,8,3,NA,4,Adults
addition,Pearl,5,Seq,2,4,3,3,4,1,7,,10,4,NA,3,Adults
addition,Pearl,5,Seq,2,4,5,4,5,1,9,,11,4,NA,5,Adults
addition,Pearl,5,Seq,2,3,4,3,4,1,7,,13,3,NA,4,Adults
addition,Pearl,5,Seq,2,5,4,4,5,1,9,,14,5,NA,4,Adults
addition,Pearl,5,Seq,2,5,4,4,5,1,9,,17,5,NA,4,Adults
addition,Pearl,5,Seq,2,4,5,4,5,1,9,,18,4,NA,5,Adults
addition,Pearl,5,Seq,2,4,3,3,4,0,7,,23,4,NA,3,Adults
addition,Pearl,5,Seq,2,4,5,4,5,1,9,,1,4,NA,5,Adults
addition,Pearl,5,Seq,2,5,4,4,5,0,9,,2,5,NA,4,Adults
addition,Pearl,5,Seq,2,3,4,3,4,1,7,,5,3,NA,4,Adults
addition,Pearl,5,Seq,2,5,4,4,5,1,9,,7,5,NA,4,Adults
addition,Pearl,5,Seq,2,5,4,4,5,0,9,,10,5,NA,4,Adults
addition,Pearl,5,Seq,2,4,3,3,4,0,7,,11,4,NA,3,Adults
addition,Pearl,5,Seq,2,4,5,4,5,1,9,,13,4,NA,5,Adults
addition,Pearl,5,Seq,2,3,4,3,4,1,7,,14,3,NA,4,Adults
addition,Pearl,5,Seq,2,4,3,3,4,1,7,,15,4,NA,3,Adults
addition,Pearl,5,Seq,2,4,3,3,4,1,7,,16,4,NA,3,Adults
addition,Pearl,5,Seq,2,4,5,4,5,0,9,,18,4,NA,5,Adults
addition,Pearl,5,Seq,2,3,4,3,4,1,7,,23,3,NA,4,Adults
addition,Pearl,5,Seq,2,4,5,4,5,0,9,,1,4,NA,5,Adults
addition,Pearl,5,Seq,2,3,4,3,4,0,7,,4,3,NA,4,Adults
addition,Pearl,5,Seq,2,5,4,4,5,0,9,,5,5,NA,4,Adults
addition,Pearl,5,Seq,2,4,3,3,4,0,7,,6,4,NA,3,Adults
addition,Pearl,5,Seq,2,3,4,3,4,0,7,,9,3,NA,4,Adults
addition,Pearl,5,Seq,2,4,5,4,5,0,9,,13,4,NA,5,Adults
addition,Pearl,5,Seq,2,5,4,4,5,0,9,,15,5,NA,4,Adults
addition,Pearl,5,Seq,2,4,3,3,4,0,7,,18,4,NA,3,Adults
addition,Pearl,5,Seq,2,5,4,4,5,1,9,,19,5,NA,4,Adults
addition,Pearl,5,Seq,2,3,4,3,4,1,7,,21,3,NA,4,Adults
addition,Pearl,5,Seq,2,4,3,3,4,1,7,,22,4,NA,3,Adults
addition,Pearl,5,Seq,2,4,5,4,5,1,9,,23,4,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,0,11,,1,5,NA,6,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,2,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,3,6,NA,5,Adults
addition,Pearl,5,Seq,2,6,5,5,6,0,11,,4,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,5,5,NA,6,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,6,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,0,11,,7,6,NA,5,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,8,6,NA,5,Adults
addition,Pearl,5,Seq,2,6,5,5,6,0,11,,9,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,10,5,NA,6,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,11,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,12,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,0,11,,13,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,14,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,0,11,,15,5,NA,6,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,16,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,17,6,NA,5,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,18,6,NA,5,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,1,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,0,11,,2,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,3,6,NA,5,Adults
addition,Pearl,5,Seq,2,6,5,5,6,0,11,,4,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,5,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,0,11,,6,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,0,11,,7,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,8,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,9,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,10,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,11,5,NA,6,Adults
addition,Pearl,5,Seq,2,5,6,5,6,0,11,,12,5,NA,6,Adults
addition,Pearl,5,Seq,2,5,6,5,6,0,11,,13,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,14,6,NA,5,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,15,6,NA,5,Adults
addition,Pearl,5,Seq,2,5,6,5,6,0,11,,16,5,NA,6,Adults
addition,Pearl,5,Seq,2,5,6,5,6,1,11,,17,5,NA,6,Adults
addition,Pearl,5,Seq,2,6,5,5,6,1,11,,18,6,NA,5,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,1,4,NA,5,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,2,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,3,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,4,4,NA,5,Adults
addition,Peperella,6,1to1,3,3,4,3,4,0,4,,5,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,6,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,7,4,NA,5,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,8,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,10,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,11,4,NA,5,Adults
addition,Peperella,6,1to1,3,3,4,3,4,0,4,,12,3,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,13,5,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,14,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,15,4,NA,5,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,16,5,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,0,4,,17,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,18,4,NA,3,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,19,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,0,4,,20,4,NA,3,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,21,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,22,4,NA,3,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,23,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,24,4,NA,3,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,1,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,2,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,3,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,4,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,3,3,4,0,4,,5,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,6,4,NA,3,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,7,5,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,8,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,10,4,NA,5,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,11,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,12,4,NA,5,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,13,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,14,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,15,4,NA,3,Adults
addition,Peperella,6,1to1,3,5,4,4,5,0,5,,16,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,17,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,18,4,NA,5,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,19,3,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,20,5,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,21,3,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,22,3,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,23,5,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,24,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,1,4,NA,3,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,2,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,3,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,4,4,NA,5,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,5,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,0,4,,6,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,3,3,4,0,4,,7,4,NA,3,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,8,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,10,3,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,11,5,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,12,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,13,4,NA,3,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,14,5,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,15,3,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,16,5,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,17,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,18,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,19,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,20,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,21,4,NA,5,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,22,5,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,1,4,,23,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,24,4,NA,5,Adults
addition,Peperella,6,1to1,3,3,4,3,4,0,4,,2,3,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,3,5,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,0,4,,5,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,7,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,10,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,11,4,NA,5,Adults
addition,Peperella,6,1to1,3,5,4,4,5,0,5,,13,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,17,4,NA,3,Adults
addition,Peperella,6,1to1,3,3,4,3,4,0,4,,21,3,NA,4,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,22,5,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,23,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,1,4,NA,3,Adults
addition,Peperella,6,1to1,3,4,5,4,5,0,5,,4,4,NA,5,Adults
addition,Peperella,6,1to1,3,4,5,4,5,1,5,,5,4,NA,5,Adults
addition,Peperella,6,1to1,3,3,4,3,4,0,4,,8,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Peperella,6,1to1,3,5,4,4,5,1,5,,11,5,NA,4,Adults
addition,Peperella,6,1to1,3,3,4,3,4,0,4,,12,3,NA,4,Adults
addition,Peperella,6,1to1,3,4,3,3,4,1,4,,15,4,NA,3,Adults
